Routine,Punch
1,Jab
2,Jab
3,Jab
4,Jab
5,Jab
6,Jab
7,Jab
8,Cross
9,Lead Hook
10,Lead Hook
11,Lead Hook
12,Jab
13,Cross
14,Cross
15,Cross
16,Lead Hook
17,Lead Hook
18,Jab
19,Jab
20,Jab
21,Cross
22,Cross
23,Cross
24,Lead Hook
25,Jab
26,Rear Uppercut
27,Cross
28,Cross
29,Cross
30,Jab
31,Jab
32,Jab
33,Lead Hook
34,Jab
35,Cross
36,Cross
37,Cross
38,Jab
39,Lead Hook
40,Lead Hook
41,Lead Hook
42,Jab
43,Cross
44,Cross
45,Cross
46,Lead Hook
47,Jab
48,Lead Hook
49,Cross
50,Cross
51,Cross
52,Cross
53,Jab
54,Cross
55,Lead Hook
56,Lead Hook
57,Cross
58,Cross
59,Cross
60,Cross
61,Cross
62,Lead Hook
63,Rear Uppercut
64,Rear Uppercut
65,Cross
66,Cross
67,Cross
68,Lead Uppercut
69,Lead Uppercut
70,Cross
71,Cross
72,Cross
73,Rear Uppercut
74,Rear Uppercut
75,Rear Uppercut
76,Jab
77,Jab
78,Jab
79,Jab
80,Jab
81,Rear Uppercut
82,Rear Uppercut
83,Rear Uppercut
84,Rear Uppercut
85,Jab
86,Jab
87,Cross
88,Cross
89,Cross
90,Cross
91,Cross
92,Cross
93,Cross
94,Cross
95,Cross
96,Cross
97,Cross
98,Cross
99,Cross
100,Cross
101,Cross
102,Cross
103,Cross
104,Cross
105,Cross
106,Cross
107,Cross
108,Rear Hook
109,Rear Hook
110,Rear Hook
111,Rear Uppercut
112,Rear Uppercut
113,Jab
114,Jab
115,Jab
116,Jab
117,Jab
118,Jab
119,Lead Hook
120,Lead Hook
121,Lead Uppercut
122,Jab
123,Jab
124,Jab
125,Lead Uppercut
126,Cross
127,Cross
128,Cross
129,Rear Uppercut
130,Rear Uppercut
131,Rear Uppercut
132,Cross
133,Cross
134,Cross
135,Rear Hook
136,Cross
137,Cross
138,Cross
139,Rear Uppercut
140,Rear Uppercut
141,Rear Uppercut
142,Rear Hook
143,Cross
144,Cross
145,Cross
146,Cross
147,Rear Uppercut
148,Rear Uppercut
149,Rear Hook
150,Lead Uppercut
151,Lead Uppercut
152,Lead Uppercut
153,Lead Uppercut
154,Lead Uppercut
155,Lead Uppercut
156,Lead Uppercut
157,Lead Uppercut
158,Lead Uppercut
159,Lead Uppercut
160,Lead Uppercut
161,Lead Uppercut
162,Lead Uppercut
163,Lead Uppercut
164,Lead Uppercut
165,Lead Uppercut
166,Jab
167,Jab
168,Rear Hook
169,Lead Uppercut
170,Rear Uppercut
171,Rear Uppercut
172,Rear Uppercut
173,Rear Uppercut
