Event,Arm Time,Camera Time,Time Diff,Expected,Detected,Correct
1,2.866666667,2.8666666666666667,3.33333360913457e-10,Jab,Jab,True
2,2.9,2.9,0.0,Jab,Jab,True
3,3.066666667,3.066666666666667,3.3333291682424715e-10,Jab,Jab,True
4,3.2,3.2,0.0,Jab,Jab,True
5,3.233333333,3.2333333333333334,3.33333360913457e-10,Jab,Jab,True
6,3.5,3.5,0.0,Jab,Jab,True
7,3.533333333,3.533333333333333,3.33333360913457e-10,Jab,Jab,True
8,3.6,3.6,0.0,Cross,Cross,True
9,3.633333333,3.633333333333333,3.3333291682424715e-10,Lead Hook,Cross + Lead Hook,True
10,3.666666667,3.6666666666666665,3.33333360913457e-10,Lead Hook,Cross + Lead Hook,True
11,3.7,3.7,0.0,Lead Hook,Lead Hook,True
12,3.833333333,3.8333333333333335,3.33333360913457e-10,Jab,Jab,True
13,3.9,3.9,0.0,Cross,Cross,True
14,3.933333333,3.933333333333333,3.3333291682424715e-10,Cross,Cross + Lead Hook,True
15,3.966666667,3.966666666666667,3.33333360913457e-10,Cross,Cross,True
16,4.0,4.0,0.0,Lead Hook,Lead Hook,True
17,4.033333333,4.033333333333333,3.33333360913457e-10,Lead Hook,Lead Hook,True
18,4.2,4.2,0.0,Jab,Jab,True
19,4.233333333,4.233333333333333,3.33333360913457e-10,Jab,Jab,True
20,4.266666667,4.266666666666667,3.33333360913457e-10,Jab,Jab,True
21,4.3,4.3,0.0,Cross,Cross,True
22,4.333333333,4.333333333333333,3.33333360913457e-10,Cross,Cross,True
23,4.366666667,4.366666666666666,3.33333360913457e-10,Cross,Cross + Lead Hook,True
24,4.4,4.4,0.0,Lead Hook,Lead Hook,True
25,4.6,4.6,0.0,Jab,Jab,True
26,4.666666667,4.666666666666667,3.33333360913457e-10,Rear Uppercut,Cross + Rear Uppercut,True
27,4.7,4.7,0.0,Cross,Cross,True
28,4.733333333,4.733333333333333,3.33333360913457e-10,Cross,Cross,True
29,4.766666667,4.766666666666667,3.33333360913457e-10,Cross,Cross,True
30,4.8,4.8,0.0,Jab,Jab,True
31,4.833333333,4.833333333333333,3.33333360913457e-10,Jab,Jab + Lead Hook,True
32,4.866666667,4.866666666666666,3.33333360913457e-10,Jab,Jab + Lead Hook,True
33,4.9,4.9,0.0,Lead Hook,Lead Hook,True
